what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399078844564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399078881183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399078884044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399079098507
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399079098584
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1399079099928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399079140319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399079141961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399079191025
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399079191100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399079205701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399079210505
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1399079210582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399079211535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399079218583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399079253389
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1399079255138
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1399079255615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399079258444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399079259780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399079260873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399079260901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399079345831
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399079345909
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1399079352841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399079365638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399079367929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399079369060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399079369072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399079422958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399079468949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399079476089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399079477384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399079523775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1399079532365
